YEAR,GRADE,CONTENT_AREA,SCALE_SCORE,SCALE_SCORE_CSEM
2011,3,COMMUNICATION_ARTS,1,0
2011,3,COMMUNICATION_ARTS,2,0
2011,3,COMMUNICATION_ARTS,3,0
2011,3,COMMUNICATION_ARTS,4,0
2011,3,COMMUNICATION_ARTS,5,0
2011,3,COMMUNICATION_ARTS,6,0
2011,3,COMMUNICATION_ARTS,7,0
2011,3,COMMUNICATION_ARTS,8,0
2011,3,COMMUNICATION_ARTS,9,0
2011,3,COMMUNICATION_ARTS,10,0
2011,3,COMMUNICATION_ARTS,11,0
2011,3,COMMUNICATION_ARTS,12,0
2011,3,COMMUNICATION_ARTS,13,0
2011,3,COMMUNICATION_ARTS,14,0
2011,3,COMMUNICATION_ARTS,15,0
2011,3,COMMUNICATION_ARTS,16,0
2011,3,COMMUNICATION_ARTS,17,0
2011,3,COMMUNICATION_ARTS,18,0
2011,3,COMMUNICATION_ARTS,19,0
2011,3,COMMUNICATION_ARTS,20,0
2011,3,COMMUNICATION_ARTS,21,0
2011,3,COMMUNICATION_ARTS,22,0
2011,3,COMMUNICATION_ARTS,23,0
2011,3,COMMUNICATION_ARTS,24,0
2011,3,COMMUNICATION_ARTS,25,0
2011,3,COMMUNICATION_ARTS,26,0
2011,3,COMMUNICATION_ARTS,27,0
2011,3,COMMUNICATION_ARTS,28,0
2011,3,COMMUNICATION_ARTS,29,0
2011,3,COMMUNICATION_ARTS,30,0
2011,3,COMMUNICATION_ARTS,31,0
2011,3,COMMUNICATION_ARTS,32,0
2011,3,COMMUNICATION_ARTS,33,0
2011,3,COMMUNICATION_ARTS,34,0
2011,3,COMMUNICATION_ARTS,35,0
2011,3,COMMUNICATION_ARTS,36,0
2011,3,COMMUNICATION_ARTS,37,0
2011,3,COMMUNICATION_ARTS,38,0
2011,3,COMMUNICATION_ARTS,39,0
2011,3,COMMUNICATION_ARTS,40,0
2011,3,COMMUNICATION_ARTS,41,0
2011,3,COMMUNICATION_ARTS,42,0
2011,3,COMMUNICATION_ARTS,43,0
2011,3,COMMUNICATION_ARTS,44,0
2011,3,COMMUNICATION_ARTS,45,0
2011,3,COMMUNICATION_ARTS,46,0
2011,3,COMMUNICATION_ARTS,47,0
2011,3,COMMUNICATION_ARTS,48,0
2011,3,COMMUNICATION_ARTS,49,0
2011,3,COMMUNICATION_ARTS,50,0
2011,3,COMMUNICATION_ARTS,51,0
2011,3,COMMUNICATION_ARTS,52,0
2011,3,COMMUNICATION_ARTS,53,0
2011,3,COMMUNICATION_ARTS,54,0
2011,3,COMMUNICATION_ARTS,55,0
